"E_km","N_km","group"
775.48212405,6881.12404827,1
775.47860264,6881.14637916,1
775.4429899,6881.32816015,1
775.42637965,6881.3989362,1
775.28786596,6881.81835887,1
775.25431101,6881.89610865,1
775.21021489,6882.01437596,1
775.11495529,6882.31554397,1
774.89352902,6882.81658852,1
774.88799613,6882.82612102,1
774.77612918,6883.080636,1
774.7642299,6883.11878867,1
774.72564352,6883.2790556,1
774.70661318,6883.38978025,1
774.66877125,6883.56994185,1
774.63014366,6883.72518901,1
774.57219105,6883.92293322,1
774.5110002,6884.10375371,1
774.49234196525,6884.15430808983,1
774.35864152,6884.75047083,1
774.336088613479,6884.74541292634,1
774.19177722052,6885.32545349466,1
774.16547709,6885.63514672,1
774.15594769,6885.72714137,1
774.11637017,6886.05069483,1
774.11414562,6886.13495321,1
774.12449838,6886.50566725,1
774.11733956,6886.77694925,1
774.09526043,6887.05000239,1
774.09167847,6887.18535729,1
774.10489609,6887.66120124,1
774.10585082,6887.72384396,1
774.10658185,6887.99365306,1
774.11776957,6888.1570792,1
774.13723923,6888.30151323,1
774.16094424,6888.42785627,1
774.2166883,6888.65869982,1
774.19559419734,6888.66379362015,1
774.31296457,6889.20573356,1
774.32068454,6889.37811231,1
774.190884911912,6890.11387896564,1
774.165949898128,6890.44450030643,1
774.193604617421,6890.67672275982,1
774.33116412,6891.36963636,1
774.33657744,6891.47814127,1
774.331829695432,6891.47837813542,1
774.33883297,6891.51839556,1
774.293690525918,6891.95006822648,1
774.29662351,6891.95030644,1
774.29085428,6892.02133955,1
774.347718887162,6892.5116240774,1
774.42778921,6892.84060202,1
774.42969965,6892.85203821,1
774.45865303,6892.98217733,1
774.5090436,6893.16263151,1
774.5192074,6893.19710773,1
774.64213381,6893.59300341,1
774.68508427,6893.74898258,1
774.71523505,6893.87417301,1
774.760088880295,6894.01422368948,1
774.853184306144,6894.17500463034,1
775.27569004,6894.72387928,1
775.5365645,6895.43147961,1
775.594759646828,6895.71592815527,1
