"E_km","N_km","group"
1346.57533871478,6391.58123079376,2
1346.50976970698,6391.43587778498,2
1346.49304264606,6391.20312296475,2
1346.4470828275,6390.96339649534,2
1346.48625345906,6390.77509043611,2
1346.50752543097,6390.6819862266,2
1346.5338742804,6390.55531842106,2
1346.55506736674,6390.46258327745,2
1346.52384192743,6390.45607521089,2
1346.45979122811,6390.44148048603,2
1346.3466484049,6390.51552299208,2
1346.25966607543,6390.46375856547,2
1346.27929014419,6390.3693883386,2
1346.34489015528,6390.21979714863,2
1346.44633638652,6390.04530524131,2
1346.52684290258,6389.83324437045,2
1346.55529421381,6389.54428338752,2
1346.53381469403,6389.34335656097,2
1346.52556311487,6389.07868685264,2
1346.54499655946,6388.98517516117,2
1346.68805036982,6389.08097424949,2
1346.78504261422,6389.3982475351,2
1346.85102311928,6389.54188689379,2
1346.87745466941,6389.58066735547,2
1346.91830536312,6389.68845707193,2
1346.94953095609,6389.69496460836,2
1346.99875310933,6389.7717227284,2
1347.02371017718,6389.80837257537,2
1347.04159720807,6389.87904964302,2
1347.09733984271,6389.92436683626,2
1347.09105555257,6389.95457001227,2
1347.1715191041,6390.03777530219,2
1347.19611490229,6390.07615067914,2
1347.24034918956,6390.02015720463,2
1347.19446185222,6389.78005664075,2
1347.04446341691,6389.25702039179,2
1346.97192320374,6388.97899278907,2
1346.94717712,6388.64614296808,2
1346.84672780328,6388.19780853639,2
1346.71824016845,6387.87486946066,2
1346.6388045447,6387.33420821881,2
1346.48223358358,6386.84143988737,2
1346.31281333993,6386.41030715894,2
1346.2169282945,6386.09598485174,2
1346.20211707671,6385.86235647184,2
1346.22289725515,6385.60505763539,2
1346.30346514362,6385.39254867862,2
1346.41136460097,6385.18697456897,2
1346.46534203556,6384.93616397266,2
1346.34488753766,6384.58263206162,2
1346.24918515271,6384.26699463058,2
1346.10927260148,6384.0069729771,2
1345.97259977068,6383.87938533197,2
1345.83946529093,6383.8828139443,2
1345.69830806205,6384.08233778824,2
1345.65917165217,6384.27111325985,2
1345.50006078741,6384.39994318554,2
1345.36552897811,6384.56759443435,2
1345.26872120236,6384.71069208795,2
1345.15242200339,6384.94780520093,2
1345.1116502557,6385.13531414628,2
1345.02294343836,6385.24860696606,2
1344.83903081128,6385.33997907306,2
1344.56800060022,6385.37962429636,2
1344.32295105854,6385.29387086568,2
1343.97941196132,6385.22060872021,2
1343.63421266085,6385.14607696728,2
1343.35320082103,6385.08577964677,2
1343.26608553495,6385.03405509882,2
1343.14765535917,6384.97593215277,2
1343.06044635231,6384.92463823346,2
1342.9896335185,6384.94240033518,2
1342.914263128,6384.99152017663,2
1342.93912261385,6385.02905012199,2
1343.13806994175,6385.17077184223,2
1343.31259809841,6385.27286941905,2
1343.38670719404,6385.3874824096,2
1343.46741361234,6385.47022128392,2
1343.43293651474,6385.62758810357,2
1343.36003561771,6385.80848102849,2
1343.21288353947,6386.03780474327,2
1342.9449923619,6386.21120096525,2
1342.7234958795,6386.32721020979,2
1342.33429157043,6386.30845631157,2
1341.92553016319,6386.38453627108,2
1341.60519852441,6386.34810762288,2
1341.38655692757,6386.30209049034,2
1341.32420944191,6386.28832466604,2
1340.94270944526,6386.07451338443,2
1340.88028374162,6386.06118203244,2
1340.87379524729,6386.09262780772,2
1340.86730673527,6386.12407356627,2
1340.9166765274,6386.20073078045,2
1340.95433854096,6386.17616787065,2
1341.01027581783,6386.22094519226,2
1341.11577138024,6386.34151953375,2
1341.09461162689,6386.43470896443,2
1340.91902570213,6386.49599452513,2
1340.7169984846,6386.51817602486,2
1340.55913837094,6386.48428851778,2
1340.41845459596,6386.68311495637,2
1340.25966912045,6386.811736024,2
1340.050839333,6386.86709653873,2
1339.71137825531,6386.92397600766,2
1339.57182466922,6386.95949767097,2
1339.37825077825,6386.95021307837,2
1339.17251748625,6386.84180283168,2
1339.02953890373,6386.74505759993,2
1339.01123523505,6386.67571236161,2
1339.15070856832,6386.64056009386,2
1339.21962156229,6386.62238326955,2
1339.30988546843,6386.50977159789,2
1339.23677840826,6386.23189785999,2
1339.14621269729,6386.04796362762,2
1339.15825781733,6385.69148235103,2
1339.23780180901,6385.31431719304,2
1339.22771121163,6385.21429351207,2
1339.20412540792,6385.01220548413,2
1339.22824939578,6384.75521669996,2
1339.44412004195,6384.50755386428,2
1339.64267484451,6384.35341144778,2
1339.98931676483,6384.26251919683,2
1340.22865003465,6384.21781738377,2
1340.39873575799,6384.18815953641,2
1340.587889594,6384.22888766151,2
1340.70632869339,6384.28694676479,2
1340.76221794431,6384.33216425612,2
1340.83117683921,6384.31399389334,2
1340.850545628,6384.22002008508,2
1340.79482881665,6384.1740029166,2
1340.8028066105,6384.14456118348,2
