"E_km","N_km","STATIONID","group"
648.61262656603,6166.31433926922,"C-19",30
647.31564276934,6167.38450652174,"C-19",30
646.64923118968,6168.47571653606,"C-19",30
646.02031573912,6168.45461939333,"C-19",30
645.35332921306,6169.54643069713,"C-19",30
644.72454388876,6169.52555159091,"C-19",30
644.05811319044,6170.61709669313,"C-19",30
643.42947371732,6170.59637524551,"C-19",30
642.09878440791,6172.78048087192,"C-19",30
640.77023788698,6174.96494134857,"C-19",30
640.73432440995,6176.07736643053,"C-19",30
640.10553011382,6176.05709606255,"C-19",30
640.06975319464,6177.16993055818,"C-19",30
639.44208994166,6177.14975561023,"C-19",30
639.406456996,6178.26222732983,"C-19",30
638.74345752327,6179.35503483844,"C-19",30
638.56596035239,6184.9180914191,"C-19",30
637.90308926048,6186.01052694644,"C-19",30
637.27670480987,6185.99066611281,"C-19",30
635.95327340856,6188.17652672127,"C-19",30
635.32719502343,6188.15692553029,"C-19",30
634.66560320301,6189.25034081928,"C-19",30
632.78694157461,6189.19235626283,"C-19",30
632.77452214072,6189.59743911091,"C-19",30
658.8041173439,6190.43881976119,"C-19",30
661.94479421651,6160.22107919557,"C-19",30
729.026882427,6230.7574796935,"D-01",31
732.65195480653,6193.77535663886,"D-01",31
695.73091916172,6191.94949283891,"D-01",31
692.01442171739,6228.93581004186,"D-01",31
729.026882427,6230.7574796935,"D-01",31
766.04123435671,6232.90068397137,"D-02",32
769.57626134017,6195.91728728463,"D-02",32
732.65195480653,6193.77535663886,"D-02",32
729.026882427,6230.7574796935,"D-02",32
766.04123435671,6232.90068397137,"D-02",32
803.03320581616,6235.36430689236,"D-03",33
806.47754012042,6198.37404722107,"D-03",33
769.57626134017,6195.91728728463,"D-03",33
766.04123435671,6232.90068397137,"D-03",33
803.03320581616,6235.36430689236,"D-03",33
840.01070658391,6238.14903555513,"D-04",34
843.36577171431,6201.1464597111,"D-04",34
806.47754012042,6198.37404722107,"D-04",34
803.03320581616,6235.36430689236,"D-04",34
840.01070658391,6238.14903555513,"D-04",34
876.98162386601,6241.25591479882,"D-05",35
880.24805048343,6204.23551722558,"D-05",35
843.36577171431,6201.1464597111,"D-05",35
840.01070658391,6238.14903555513,"D-05",35
876.98162386601,6241.25591479882,"D-05",35
913.93774977968,6244.68478693452,"D-06",36
917.11619151404,6207.64106131825,"D-06",36
880.24805048343,6204.23551722558,"D-06",36
876.98162386601,6241.25591479882,"D-06",36
913.93774977968,6244.68478693452,"D-06",36
950.86709613455,6248.43489237607,"D-07",37
953.95819613058,6211.36233161962,"D-07",37
917.11619151404,6207.64106131825,"D-07",37
913.93774977968,6244.68478693452,"D-07",37
950.86709613455,6248.43489237607,"D-07",37
987.78128581691,6252.50784508021,"D-08",38
990.78493102807,6215.40084114971,"D-08",38
953.95819613058,6211.36233161962,"D-08",38
950.86709613455,6248.43489237607,"D-08",38
987.78128581691,6252.50784508021,"D-08",38
1024.68434922617,6256.90481690151,"D-09",39
1027.60246331077,6219.75797421747,"D-09",39
990.78493102807,6215.40084114971,"D-09",39
987.78128581691,6252.50784508021,"D-09",39
1024.68434922617,6256.90481690151,"D-09",39
1061.55482406986,6261.62383494779,"D-10",40
1064.38733410383,6224.43153065044,"D-10",40
1027.60246331077,6219.75797421747,"D-10",40
1024.68434922617,6256.90481690151,"D-10",40
1061.55482406986,6261.62383494779,"D-10",40
1099.85867672457,6246.9272952861,"D-11",41
1099.06659794299,6246.81586509503,"D-11",41
1097.36022869182,6245.44748249318,"D-11",41
1093.63620007513,6244.92760145201,"D-11",41
1091.30702584783,6243.47596033169,"D-11",41
1087.58065419098,6242.96134842568,"D-11",41
1083.38560125403,6241.25778167069,"D-11",41
1080.42989568738,6239.72747886642,"D-11",41
1075.45869094076,6239.05518076671,"D-11",41
1073.74313559635,6237.69683185508,"D-11",41
1071.40504463019,6236.25657302156,"D-11",41
1068.91733185166,6235.92501366244,"D-11",41
1067.82134960486,6234.65199619313,"D-11",41
1066.57707475283,6234.48715927973,"D-11",41
1067.2462663368,6224.82009736665,"D-11",41
1064.38733410383,6224.43153065044,"D-11",41
1061.55482406986,6261.62383494779,"D-11",41
1098.39955150478,6266.66625337276,"D-11",41
1099.85867672457,6246.9272952861,"D-11",41
1135.2763760124,6271.34869812969,"D-12",42
1101.97976739428,6266.42069593801,"D-12",42
1103.25365853361,6248.53516430335,"D-12",42
1102.47622625275,6249.55407942068,"D-12",42
1102.01282194737,6248.35969163662,"D-12",42
1100.30781258423,6246.99047808261,"D-12",42
1099.85867672457,6246.9272952861,"D-12",42
1098.39955150478,6266.66625337276,"D-12",42
1135.22721488289,6272.03403438302,"D-12",42
1135.2763760124,6271.34869812969,"D-12",42
657.12990785118,6206.717292484,"D-18",43
657.85166053223,6206.74291220216,"D-18",43
658.43419049168,6207.87858314989,"D-18",43
659.05837852373,6207.90156147795,"D-18",43
661.51065290758,6209.10674407168,"D-18",43
662.1347300202,6209.13019196964,"D-18",43
663.29645909335,6211.40238526034,"D-18",43
664.54294668623,6211.44985931079,"D-18",43
664.50045406531,6212.56223434212,"D-18",43
665.12302277331,6212.58611435708,"D-18",43
665.7036968641,6213.72283445726,"D-18",43
666.32616786318,6213.74687650933,"D-18",43
666.24005781979,6215.97199447206,"D-18",43
665.61795262687,6215.94798015412,"D-18",43
665.53219019352,6218.17307522771,"D-18",43
664.86669427847,6219.26145135668,"D-18",43
664.82396346406,6220.37381455669,"D-18",43
664.15989152203,6221.46278774304,"D-18",43
663.53859052155,6221.43902899266,"D-18",43
662.8740446799,6222.5277276536,"D-18",43
662.25295121883,6222.5041432297,"D-18",43
660.26361753958,6225.77201037534,"D-18",43
659.64291681874,6225.74883219359,"D-18",43
659.60144169029,6226.86118498944,"D-18",43
659.14956488104,6227.60383359317,"D-18",43
692.01442171739,6228.93581004186,"D-18",43
695.73091916172,6191.94949283891,"D-18",43
658.8041173439,6190.43881976119,"D-18",43
657.12990785118,6206.717292484,"D-18",43
632.77452214072,6189.59743911091,"D-19",44
632.75283312756,6190.30482459992,"D-19",44
632.12712162383,6190.28574914523,"D-19",44
632.09319986043,6191.39818875121,"D-19",44
631.43378743981,6192.49210902958,"D-19",44
631.36628580133,6194.71746704542,"D-19",44
631.95743514777,6195.84896754638,"D-19",44
633.83321871972,6195.90661505802,"D-19",44
634.42360788586,6197.03892593381,"D-19",44
635.04933304382,6197.05838041515,"D-19",44
636.26380851891,6198.21008244176,"D-19",44
640.63891600972,6198.35023407708,"D-19",44
641.22719850598,6199.48303782294,"D-19",44
643.72684244914,6199.56549923128,"D-19",44
644.31409928918,6200.69917164438,"D-19",44
644.27691408718,6201.81157429588,"D-19",44
645.45108847653,6204.07883217768,"D-19",44
647.32339773319,6204.1423715791,"D-19",44
647.28535074219,6205.25516469091,"D-19",44
647.90896634522,6205.27651226913,"D-19",44
648.49524610237,6206.41043711107,"D-19",44
657.12990785118,6206.717292484,"D-19",44
658.8041173439,6190.43881976119,"D-19",44
632.77452214072,6189.59743911091,"D-19",44
581.22713472279,6222.58503833152,"D-20",45
581.40225903348,6222.43403236535,"D-20",45
582.02423316507,6222.44592352431,"D-20",45
582.66672347726,6221.34514695563,"D-20",45
583.28788715566,6221.35714292333,"D-20",45
584.55312369335,6220.26836266664,"D-20",45
586.41809477232,6220.30553302714,"D-20",45
587.06194486072,6219.20545138635,"D-20",45
590.17131818213,6219.26961926594,"D-20",45
591.43895098191,6218.18284772717,"D-20",45
592.06059404976,6218.196145285,"D-20",45
592.7072477507,6217.09686832849,"D-20",45
592.75526164024,6214.87116905413,"D-20",45
592.13218236084,6214.85775914792,"D-20",45
592.15603832408,6213.74511058535,"D-20",45
591.53372481115,6213.73176733345,"D-20",45
590.93496340556,6212.60548756195,"D-20",45
590.31156370123,6212.59237036476,"D-20",45
589.08877054906,6211.45374980231,"D-20",45
587.84351782469,6211.42808604424,"D-20",45
587.2425297941,6210.30234168223,"D-20",45
584.750426517,6210.25253942498,"D-20",45
584.14938170473,6209.12765222992,"D-20",45
582.68068020947,6209.09940439821,"D-20",45
581.22713472279,6222.58503833152,"D-20",45
579.48308415382,6225.37321105832,"D-21",46
579.49696930413,6224.6249061046,"D-21",46
580.13844273519,6223.52377135758,"D-21",46
581.22713472279,6222.58503833152,"D-21",46
582.68068020947,6209.09940439821,"D-21",46
581.65566530497,6209.0796788996,"D-21",46
580.42962129624,6207.94310318775,"D-21",46
576.06585351258,6207.8638083157,"D-21",46
574.83799491341,6206.72925925839,"D-21",46
567.35474390533,6206.60582369241,"D-21",46
566.124256315,6205.47382298445,"D-21",46
559.26237681659,6205.37402913614,"D-21",46
557.99953901324,6206.46975417214,"D-21",46
553.63445944148,6206.41326406026,"D-21",46
552.997471004,6207.5182528578,"D-21",46
551.12708441617,6207.49566000515,"D-21",46
550.48990132136,6208.60147887005,"D-21",46
549.866916187,6208.59423443129,"D-21",46
549.23023053726,6209.69977944474,"D-21",46
548.607450011,6209.69271113241,"D-21",46
547.97217741475,6210.79893044523,"D-21",46
546.72591806035,6210.78517650823,"D-21",46
546.09130241464,6211.89122570534,"D-21",46
545.32120964456,6211.88307964965,"D-21",46
543.8921482368,6224.85436338108,"D-21",46
579.48308415382,6225.37321105832,"D-21",46
545.32120964456,6211.88307964965,"D-22",47
544.84532937428,6211.8780432055,"D-22",47
544.21139147167,6212.98483078523,"D-22",47
543.58808598443,6212.97843886925,"D-22",47
542.95458525426,6214.08493744018,"D-22",47
542.33146847231,6214.07878223183,"D-22",47
542.32047247651,6215.1919724191,"D-22",47
540.45343583188,6215.17396321192,"D-22",47
540.44296843143,6216.2867663413,"D-22",47
538.5764069072,6216.26956260203,"D-22",47
537.94468889141,6217.37679621757,"D-22",47
535.45692817089,6217.35554163652,"D-22",47
535.44770422233,6218.46878255863,"D-22",47
529.22836397771,6218.42191763482,"D-22",47
528.59938619171,6219.53051993769,"D-22",47
527.35564992518,6219.52238772201,"D-22",47
526.72637891803,6220.63173490273,"D-22",47
526.71248907696,6222.85774281991,"D-22",47
525.47069555886,6222.85016927082,"D-22",47
524.84238559469,6223.95934211467,"D-22",47
522.97916670767,6223.94890948232,"D-22",47
