"E_km","N_km","group"
1037.30433170381,6190.19658859402,1
1036.321198136,6187.82447670598,1
1034.57190510825,6186.483589369,1
1033.94356896906,6186.40635125581,1
1032.82160922841,6185.14386760135,1
1031.83434510476,6182.77292477775,1
1031.20548780359,6182.69613960279,1
1031.34069187839,6181.58780193141,1
1030.0816043471,6181.43440181996,1
997.848163368563,6178.7566436336,1
997.345453538376,6177.57593929387,1
997.471996246614,6176.46665112689,1
998.228073454658,6175.42960369842,1
993.818341681744,6174.92839539425,1
993.312964522259,6173.74772508948,1
992.177210187504,6172.49649714403,1
990.917091280966,6172.3546961193,1
989.398406674088,6168.81462183774,1
988.890826126191,6167.63493452553,1
988.507684610987,6165.3459993846,1
988.000164486313,6164.16657399052,1
988.123789964118,6163.05710083765,1
988.878842217786,6162.0184048666,1
989.510425670882,6162.08890814392,1
992.287427536197,6160.15348353613,1
994.183882319683,6160.3667880045,1
995.573754863589,6159.40047747891,1
999.999320596807,6159.90264895438,1
1001.26274534894,6148.81144307302,1
993.131556199159,6141.15462009301,1
956.411313115413,6136.08580449157,1
926.542621168982,6133.10396482879,1
929.001093583116,6107.57020182694,1
927.722229034262,6107.44743962077,1
926.33819437156,6108.43512486551,1
923.142195889231,6108.13082779896,1
920.48114335164,6108.99962075638,1
919.202811921526,6108.87928781423,1
917.389621862063,6107.58890341538,1
915.472007584728,6107.40995277586,1
913.119962301064,6104.95174313841,1
912.58329577269,6103.78245861443,1
911.405762852144,6102.55423473465,1
911.508045128082,6101.44363306189,1
911.0723786318,6099.16395360101,1
910.533219342677,6097.99489500605,1
909.994722914884,6096.82554602036,1
910.198006200141,6094.60511905066,1
893.5300652066,6093.11050716864,1
895.477767379947,6070.89829422238,1
894.83280032321,6070.84185491426,1
893.641635058506,6069.61860370115,1
892.352335035438,6069.5064398988,1
891.804433836038,6068.34009190088,1
889.869539064583,6068.17275479307,1
889.320804944058,6067.00631168981,1
888.126168014921,6065.7848824902,1
887.576642222798,6064.61912129075,1
886.931764051414,6064.56394905275,1
886.380806289801,6063.39780988241,1
886.665141625928,6060.06582080451,1
887.40651974917,6059.01009525863,1
887.501404880975,6057.89955975655,1
888.147235873541,6057.95481425031,1
888.88820515144,6056.89917807618,1
888.98341720746,6055.7886851886,1
871.528627598212,6054.32644406362,1
848.250386478022,6052.48161144124,1
848.165168146886,6053.59247539138,1
848.811349068211,6053.64210708167,1
848.725944609105,6054.75342998429,1
848.640639833713,6055.86431101035,1
849.933302611832,6055.96384631481,1
849.847577619674,6057.07513085278,1
850.407402831375,6058.23587059685,1
850.321454545721,6059.34720180706,1
850.966841107714,6059.3971457657,1
850.880818919589,6060.50799529178,1
851.527020519801,6060.55808296523,1
851.440751448016,6061.66937598527,1
851.999377986688,6062.83034484537,1
851.912994430402,6063.94126024331,1
852.558742153379,6063.9914921334,1
853.674344699812,6066.31424210489,1
854.319708766201,6066.36481963918,1
854.876822582031,6067.52658186431,1
854.232599011297,6067.47604012757,1
854.789607537784,6068.63744213425,1
856.078702345085,6068.73887811379,1
855.991081994172,6069.8500815607,1
857.278902305892,6069.95182248434,1
857.835722260518,6071.1136683238,1
858.391187144408,6072.27554281331,1
858.302978212588,6073.3867642025,1
858.947356497487,6073.43797555115,1
860.056633268607,6075.76253900033,1
859.967936418481,6076.87334720133,1
860.611833112447,6076.92482001486,1
860.522904376768,6078.0360113691,1
859.790404927597,6079.09533676232,1
859.147815486544,6079.0439905231,1
859.059154747798,6080.15521168859,1
858.416712096114,6080.104021812,1
858.328279711229,6081.21476516768,1
857.684983383966,6081.1636036647,1
856.954521290839,6082.22341656894,1
855.02717203717,6082.07084246934,1
854.939436168179,6083.1820992389,1
843.376335953255,6082.28423545798,1
840.807093237206,6082.08886260573,1
840.248117163908,6080.92874204892,1
836.392708428799,6080.63888861036,1
836.309626611112,6081.75030288044,1
829.885645303275,6081.27458414514,1
829.161254279177,6082.33858055878,1
823.380477816554,6081.91914618232,1
822.8181878754,6080.76189546978,1
819.605435316638,6080.53252337156,1
819.042030732319,6079.37535392516,1
817.113079181895,6079.23906751524,1
816.392543104308,6080.30542885692,1
815.750342710191,6080.26037466386,1
813.822774592672,6080.12551040466,1
813.256966688393,6078.96906401446,1
810.686498776849,6078.79093537953,1
810.120651064938,6077.63536431185,1
806.905928510808,6077.41516512466,1
806.830206252555,6078.52642406908,1
807.472616709393,6078.57025104707,1
807.396648362389,6079.68195291903,1
808.682115015867,6079.76995792032,1
808.605884878328,6080.88119804753,1
799.611719560165,6080.27325005884,1
798.894736652421,6081.34217107707,1
798.252776181227,6081.29960275654,1
798.179068749051,6082.41088702292,1
789.830474371427,6081.86505274314,1
